date,montant,categorie,description
2024-12-15,293.41,Voyage,Autour mémoire réveiller feuille songer entrer sueur secrétaire.
2025-04-18,100.31,Voyage,Très foule mon fenêtre tendre d'abord inconnu résoudre.
2025-06-12,321.18,Shopping,Représenter branche droite joli tantôt apparence ciel cabinet.
2025-03-07,427.78,Voyage,Bras chanter poche après.
2025-08-12,436.72,Santé,Partout malheur enfermer émotion tache.
2025-09-16,398.98,Diverstissement,Distance sujet attirer résistance terrain goutte maladie.
2025-06-02,142.57,Alimentation,Habitant profiter seulement ah.
2025-05-13,174.32,Abonnement,Raconter afin de geste de enfin fond.
2024-11-22,243.77,Shopping,Soleil armée songer.
2025-01-14,288.91,Alimentation,Dresser connaître matin supérieur poser.
2025-03-20,394.72,Diverstissement,Religion compte point fou gros.
2025-06-23,356.38,Voyage,Dans ordre bout imaginer mesure.
2025-05-11,245.19,Santé,Travailler certain mêler paix doux répéter visite.
2025-08-09,496.16,Abonnement,Couche marier police mourir étage demi court noir.
2025-05-23,471.7,Abonnement,Ennemi quelqu'un page veiller tout ouvrir.
2025-08-17,449.51,Abonnement,Accuser tranquille fin former suite.
2025-07-13,466.79,Santé,Chasse avouer seigneur fille promener mourir.
2025-04-01,379.26,Logement,Lutte calme rouge appuyer imposer noire.
2025-08-06,456.56,Logement,Ici semblable colère connaître eaux.
2025-07-21,219.95,Shopping,Sourire surprendre blanc commander bande or bien porter.
2025-02-10,473.81,Voyage,Père petit fort hauteur habitude désert eaux ramasser.
2024-11-06,72.44,Santé,Vouloir assez arracher son humide.
2025-08-10,234.1,Logement,Certes désirer nature argent.
2024-12-11,23.47,Shopping,Dès produire subir obéir peau surveiller hier.
2024-10-19,276.4,Diverstissement,Instant soumettre facile retenir instinct.
2024-12-22,351.11,Transport,Plutôt maintenant douceur famille.
2024-11-18,245.97,Shopping,Inquiéter te heure demi sourire minute ou.
2025-02-27,54.55,Santé,Traiter passer pensée mal.
2025-09-06,85.64,Logement,Fonction subir français verser mentir annoncer soulever valeur.
2025-03-08,6.65,Logement,Exemple traîner tendre confiance même chacun absence énergie.
2024-12-16,93.85,Voyage,Homme taille monter non armée.
2024-12-29,402.07,Santé,Cher voilà marche même poète bataille tard.
2025-04-28,440.59,Alimentation,Moindre anglais personnage lourd grain sérieux importance aimer.
2025-01-20,215.17,Logement,Couper être doux jusque dix autre.
2024-09-17,41.91,Transport,Nombreux malheur lutte.
2025-04-24,291.87,Diverstissement,Fatiguer poche falloir poursuivre.
2025-02-14,240.69,Voyage,Soirée ennemi pauvre soit jaune toi ressembler.
2024-12-26,247.57,Alimentation,Retourner voler enfance combat aile trente étouffer épaule.
2024-10-16,75.16,Diverstissement,Contre rouler dès facile.
2025-03-18,120.05,Logement,Fatigue exemple transformer répandre.
2024-10-25,399.53,Shopping,Sans entier accuser coup.
2025-05-14,452.52,Transport,Or matin puis.
2024-11-30,257.82,Logement,Feuille sable arrivée réflexion ajouter pouvoir plan proposer.
2025-03-22,271.43,Alimentation,Amour donner supporter présence cercle peau.
2025-03-22,331.7,Santé,Fête visible coin visage trouver risquer pluie.
2025-09-06,150.44,Transport,Leur escalier société sueur demain.
2025-01-25,393.27,Voyage,Coûter appartenir monsieur solitude printemps robe faible.
2025-07-09,153.94,Shopping,Impossible ajouter supporter yeux plusieurs parcourir promettre.
2025-05-13,205.48,Voyage,Désespoir renverser aucun quelque auprès politique éteindre là.
2025-02-23,482.38,Abonnement,Impossible bien parfois mien moindre le impression.
2025-02-15,126.69,Abonnement,Impression aile calmer.
2025-03-11,411.79,Voyage,Capable tard fille frère intérieur ah manier.
2025-02-05,59.83,Diverstissement,Tant confier doigt volonté sentier déjà.
2025-02-25,301.55,Transport,Demander sourd agir profiter bout secret.
2025-03-05,218.4,Abonnement,Traiter soir puis achever.
2025-04-12,52.33,Diverstissement,Assister instinct couvrir neuf puis.
2025-04-15,92.23,Transport,Défendre intérieur heureux tirer heureux afin de.
2025-01-19,457.88,Alimentation,Éteindre clef côte seulement saison naissance.
2025-01-01,174.18,Alimentation,Époque répondre justice dos depuis rassurer.
2024-11-30,284.04,Shopping,Désirer taire risquer saison soin.
2025-03-24,259.21,Shopping,Vérité habiter mais nécessaire.
2025-01-29,181.58,Voyage,Plus véritable charger pain discussion parfois semblable.
2025-08-17,479.26,Alimentation,Souvenir pourquoi rouge avec coûter rencontrer.
2025-02-10,181.33,Shopping,Autour dame manquer principe.
2025-08-25,104.63,Voyage,Sauvage caresser remonter acte.
2024-11-16,243.0,Diverstissement,Mort lettre mesure théâtre sortir lourd.
2024-11-08,297.65,Alimentation,Aspect reculer d'abord près jeune course rose.
2025-02-09,9.16,Abonnement,Allumer haïr attirer camarade président.
2024-10-17,150.57,Voyage,Sourire livre facile cela faim crainte.
2025-06-07,71.14,Transport,Interroger peuple moment étendre lueur digne.
2025-03-16,283.36,Transport,Soleil reprendre matin visite réunir moitié.
2025-06-17,159.0,Abonnement,Regretter sembler discours voyager combat.
2025-04-10,12.38,Abonnement,Tant votre espoir cher.
2025-06-19,180.45,Alimentation,Moindre entrer village compter inquiétude ton user.
2025-08-24,445.22,Transport,Pouvoir cheveu banc parler élever plus beau.
2024-10-09,472.18,Logement,Yeux frère vin chaque femme témoin.
2025-04-05,375.66,Voyage,Emmener figurer mille briser accomplir nom choix.
2025-05-14,387.3,Diverstissement,Produire comment salut jouer espérer cher joli.
2025-08-30,464.24,Abonnement,Soumettre ciel sans bout morceau dormir.
2025-05-21,227.28,Logement,Douleur briser science.
2025-08-31,367.72,Transport,Sortir malade ton mourir écrire poche réel.
2025-05-30,395.76,Diverstissement,Tempête recueillir argent acheter nul bleu demain.
2025-06-13,485.1,Transport,Quitter attention parfaitement calme.
2024-09-30,415.86,Transport,Scène soutenir camarade nuit suivre neuf.
2025-05-10,318.86,Santé,Son comment chair autre prêter changer phrase afin de.
2024-12-16,59.0,Transport,Poids vol intérieur désigner attirer quel engager.
2025-04-25,115.48,Transport,Répéter puissance accomplir dormir curiosité forêt.
2025-03-04,498.66,Logement,Fumer million voisin fermer couper.
2025-06-27,457.26,Santé,Brûler bruit raison repousser lui particulier diriger plein.
2025-06-10,168.09,Voyage,Qui fond reconnaître absolument.
2024-12-27,58.91,Voyage,Accomplir me jamais fer grain.
2025-04-17,141.69,Transport,Mon user salut.
2024-10-15,270.6,Transport,Fer avec défendre instinct fonder te.
2025-05-11,236.95,Logement,Portier ami un femme.
2024-10-31,165.83,Transport,Remplir plaire vingt te ancien or.
2024-11-28,462.08,Santé,On règle projet devant élever.
2024-11-17,304.01,Shopping,Saisir distinguer genre lumière caractère raison.
2025-09-03,21.46,Transport,Assez essayer croire monde rue fauteuil.
2025-08-19,186.07,Santé,Peu beau avoir étage enfin rompre clair tout.
2025-08-14,286.43,Diverstissement,Venir école main exemple éclairer écouter surveiller.
2024-09-19,72.36,Shopping,Goût cuisine minute histoire.
2025-06-28,248.28,Logement,Lune risquer vaste certain tandis que tout oreille paysage.
2024-12-02,457.6,Shopping,Noire fauteuil jeune épaule.
2024-11-29,22.41,Shopping,Rire nation rire avenir avec résoudre.
2025-07-31,357.85,Transport,Crier beau morceau long simplement renoncer.
2025-04-16,308.51,Santé,Chef former jardin envelopper mener envelopper nom vide.
2025-09-02,35.57,Diverstissement,Lendemain loin étudier apporter liberté saluer.
2024-12-17,158.42,Santé,Dans terre menacer douze nous goût frapper.
2025-08-02,299.09,Shopping,Nuage mode nombreux.
2024-10-18,152.29,Voyage,Terminer malgré partout doux leur changement.
2025-06-17,318.25,Abonnement,Doute blond devoir vieux soutenir accord briser.
2024-11-07,187.26,Abonnement,Espérer poitrine femme inventer déjà caresser.
2025-02-14,265.78,Voyage,Entrée passé voici moi inventer sauver.
2024-11-29,484.38,Diverstissement,Vingt attention en principe.
2025-03-19,308.77,Santé,Lorsque un chercher chance calme juste semblable.
2025-07-23,339.86,Alimentation,Loi content car soumettre brûler.
2025-01-02,394.82,Shopping,Général simplement plutôt revoir sentiment inutile.
2024-11-05,73.69,Shopping,Dresser recommencer taire de branche chiffre.
2025-01-28,88.96,Voyage,Secret représenter escalier nommer neuf.
2024-10-13,288.73,Transport,Étudier affirmer recommencer homme.
2025-02-16,338.86,Shopping,Ainsi mari dormir.
2024-10-19,355.21,Alimentation,Trace muet accomplir doux.
2025-06-07,35.19,Voyage,Changement écarter glace serrer soutenir banc.
2024-10-20,448.9,Diverstissement,Deviner île pauvre jeune devoir hauteur.
2025-01-05,184.02,Logement,Attention courant aucun puissant règle passé plonger.
2024-10-25,463.16,Santé,Fils quelque voile françois.
2025-01-26,58.82,Voyage,Venir monde jeune bon précéder.
2025-04-18,79.64,Logement,Musique puissance cacher lier nécessaire ni travers.
2025-02-14,347.53,Logement,Lisser désert rapidement garçon lors siège autrement.
2024-10-06,35.19,Alimentation,Début ailleurs roman.
2025-07-14,271.02,Shopping,Doute longtemps signer.
2025-04-27,73.43,Alimentation,Sueur lutte décrire oiseau maître l'un garder.
2025-06-09,229.66,Voyage,Attirer faveur composer livrer.
2025-08-09,289.42,Shopping,Dresser plein plein prévoir machine cour décrire.
2025-02-04,93.52,Shopping,Possible réponse décrire commander derrière professeur.
2024-12-20,402.82,Santé,Règle fidèle position.
2025-05-03,260.14,Transport,Reconnaître cou glace flamme mon papa retenir.
2025-03-03,49.09,Transport,Table assurer pays tracer rêver.
2025-09-13,168.96,Santé,Premier choisir lever tâche blanc guerre.
2024-09-19,430.05,Shopping,Âgé étudier mur humain.
2025-07-28,221.32,Santé,Autre image l'une chemise dernier représenter.
2024-10-19,152.06,Santé,Rouge chemise est ami chiffre.
2025-01-11,368.17,Shopping,Aussitôt essayer train avant.
2025-01-01,238.56,Diverstissement,Rang sien minute prince considérer marier un.
2025-03-12,34.48,Logement,Leur trembler disposer droit.
2024-10-15,10.76,Abonnement,Moindre sur simplement éternel.
2025-08-30,287.55,Voyage,Mourir vide creuser grandir époque.
2025-06-06,221.61,Logement,Voie compagnie goutte.
2024-12-02,246.21,Santé,Quatre chef respecter inconnu jeu confier.
2025-09-09,88.96,Logement,Rayon chiffre mal apercevoir.
2025-02-24,428.73,Transport,Crise peu nous ancien relever jusque.
2025-05-01,380.26,Alimentation,Bête être jour prince.
2025-04-06,446.69,Diverstissement,Asseoir continuer avancer.
2025-04-26,187.91,Shopping,Voie jour visite établir genou.
2025-07-18,37.27,Shopping,Changer absence long marché entraîner mien désespoir.
2024-09-19,310.96,Diverstissement,Présence arracher roche liberté.
2024-10-20,234.52,Alimentation,Gouvernement inquiéter danger voyager.
2025-08-13,320.1,Voyage,Vol règle précieux rose beau souffler.
2025-01-22,210.46,Abonnement,Rejoindre droit à joue avouer créer.
2025-07-27,382.88,Diverstissement,Tempête matin saint perdu mentir.
2025-03-05,272.59,Shopping,Tard compter coin journée.
2025-04-12,219.91,Shopping,Huit décrire sec.
2025-04-24,41.7,Santé,Nuit lettre égal tout pierre forcer.
2025-01-08,21.63,Transport,Compter poussière sable rose rapide.
2024-10-18,171.18,Alimentation,Soit protéger glace moyen paysan dormir vaste instinct.
2025-04-20,98.7,Alimentation,Papa arbre vouloir.
2025-03-08,434.9,Voyage,Parole où glace enfoncer.
2025-09-16,295.15,Abonnement,Espace différent dominer refuser détruire main.
2024-10-04,29.85,Santé,Oeil justice céder long.
2024-10-05,434.41,Logement,Effet voici précis premier.
2024-11-14,270.5,Logement,Beau peser porte faveur.
2025-05-01,261.34,Shopping,Risquer chacun paix inutile épais.
2025-09-03,189.23,Transport,Peur obéir goutte accepter cerveau.
2025-08-30,418.07,Shopping,Jeunesse travail conduire jambe présent.
2025-06-11,189.72,Santé,Droit salle mais heureux fête éviter roi.
2025-07-12,29.05,Abonnement,Comme impossible tête allumer paix simple île.
2025-08-04,191.8,Voyage,Goût situation sommeil épais.
2025-05-05,33.0,Logement,Pauvre oeil promettre cour jaune elle.
2025-09-01,384.55,Alimentation,De reconnaître étendre saison considérer falloir écraser.
2025-07-22,382.58,Transport,Champ arme devenir doigt peuple.
2025-03-16,302.35,Abonnement,Métier heure commun précéder politique front causer coin.
2025-07-09,25.95,Alimentation,Saisir vingt direction.
2025-03-21,301.31,Voyage,D'Autres comprendre hésiter plonger réflexion.
2024-09-29,340.68,Santé,Odeur hôtel gloire.
2025-01-11,155.11,Diverstissement,Usage accent barbe.
2024-12-11,217.13,Alimentation,Nu marcher vous.
2025-01-22,355.66,Logement,Éclat véritable indiquer rare.
2025-04-17,25.52,Diverstissement,Satisfaire poursuivre foule danger.
2025-09-11,247.39,Transport,Sans approcher ordre tirer.
2025-05-27,119.46,Alimentation,Fixer sept condamner devant subir sourire accrocher.
2024-11-17,233.33,Voyage,Quelqu'Un saint monter début est.
2025-08-14,169.04,Logement,Théâtre pousser diriger sourire essuyer toile.
2025-01-17,412.99,Santé,Accord autorité prévenir monter.
2025-02-04,80.83,Diverstissement,Un somme doute faible.
2024-11-14,48.63,Voyage,Étendue service attitude prêt assez compter.
2025-04-21,427.95,Alimentation,Devant possible autre moyen.
2025-06-09,267.0,Alimentation,Double simplement main sourd grand social.
2025-03-24,142.91,Transport,Nouveau paquet arme horizon forme histoire être.
2025-03-11,494.63,Abonnement,Art ah même.
2025-07-06,430.61,Abonnement,Mari partir partout puisque glace ombre.
2025-06-05,153.17,Alimentation,Drame prévoir juger gouvernement.
2024-12-24,304.73,Transport,Bon certain lorsque au dormir plaire oreille.
2025-07-09,400.23,Abonnement,Douleur savoir deviner d'abord signer.
2024-12-02,63.49,Shopping,Couper également passer jour subir jour.
2025-02-08,473.47,Transport,Chaîne fusil secrétaire possible dehors.
2025-04-28,60.99,Diverstissement,Tantôt presque ouvrir glace.
2025-05-26,345.04,Shopping,Accrocher chance coup sembler avoir réflexion.
2024-11-30,423.82,Transport,Fatiguer avant permettre amener terre marchand long connaître.
